CSA2010,teenbir10,teenbir11,teenbir12,termbir10,termbir11,termbir12,birthwt10,birthwt11,birthwt12,prenatal10,prenatal11,prenatal12,leadtest10,leadtest11,leadtest12,ebl10,ebl11,ebl12,tanf11,tanf12,liquor11,liquor12,fastfd11,hfai12,lifeexp11,lifeexp12,mort1_11,mort1_12,mort14_11,mort_14_12,mort24_11,mort24_12,mort44_11,mort44_12,mort64_11,mort64_12,mort84_11,mort84_12,mort85_11,mort85_12
Cross-Country/Cheswolde,0,15.5,6.7,93.2,95.9,92.5,95.1,96.8,93.8,60.2,68.3,62.5,408,351,391,0,0,0,0.8,1.7,0,0,0,0,88,84.2,9.2,2.1,0.7,2.2,2.2,5.5,2.6,5.8,31.8,58.3,78.3,214.4,292.2,918.7
Dickeyville/Franklintown,21.1,28.2,35.2,85.5,94.2,92.3,85.5,94.2,88.5,63.6,57.7,55.8,110,0,0,0,0,0,7.9,7.7,0.2,0.2,0.2,0,72.2,73.4,25,18.6,2.4,2.4,24.8,12.4,19.9,19.9,106.9,108.9,403.8,410.3,1488.4,1348.8
Dorchester/Ashburton,49.3,49.3,35.2,87.2,85.3,83.7,85.7,84.5,87,56.4,58.9,61,0,0,0,0,0,0,6.3,8.3,0.3,0.3,0.8,10,73.4,74,8.5,10.3,2.1,3.2,13.5,17.2,33.3,28.9,113.2,112.6,393.7,359.7,1294.1,1245.7
Downtown/Seton Hill,65.2,43.5,21.7,87.5,80.7,80,80.4,82.5,80,69.6,70.2,64,49,47,76,0,0,0,6.7,6.9,8.5,8.5,22.3,6.7,64,65,12.9,9,15.5,20.7,2.9,7.1,22,15.3,214.5,203.5,831.1,785.4,2384.6,2000
Edmondson Village,89.5,64.8,49.4,85,88.8,88.3,85,86.9,86.5,62.6,55.1,60.4,123,207,132,0,0,5.3,12,13.4,0.5,0.1,0.1,6.4,73.2,73.5,12.3,12.7,1.4,0,4.8,6.4,39.7,35,120.2,120.2,359.6,351.3,1264.7,1338.2
Fells Point,88.9,44.4,100,94.2,96.2,93.7,94.2,94,97.2,59.1,69.2,76.2,137,215,114,0,0,0,1.6,1.2,4.1,4.1,1.9,10.2,76.8,76.8,0,4.2,0,0,7.1,5.3,7.7,8.6,77.1,82.8,398.7,378.9,1644.4,1488.9
Forest Park/Walbrook,71.8,58.5,50.5,85.9,85,80.4,87.3,83.5,79,52.8,42.9,63.6,109,169,191,4.6,3,0,8.8,11.3,0.5,0.5,0.3,7.8,73.9,73.4,6.1,10.8,4.8,4.8,12.2,10.8,27.9,24.4,113.2,114.6,394,392.3,1169.8,1301.9
Glen-Fallstaff,49.5,30.5,26.7,90.4,89.4,88.8,94.5,90.4,92.5,56.4,60.6,62.6,164,302,158,0,1.7,0,3.3,4.7,0.3,0.4,1.9,10.3,95.6,78.5,6.8,7.4,0,2.4,2,5,13.9,23.1,43.7,76.3,137.3,278.3,396.6,1185.5
Greater Charles Village/Barclay,9.7,11.6,10.7,86.1,90.7,85.5,88.3,90.7,89.1,56.2,63.6,70.3,84,0,107,0,0,0,8.2,10.5,0.9,1.2,2.1,15.3,76.2,75.1,14.3,15.2,0,3.9,2.4,2.4,10.7,11.5,109.5,118.7,385.9,378.1,886.2,1029.9
Greater Govans,53.7,68.3,34.1,87.2,87.1,87.7,87.9,87.1,87.7,61,57.1,59.4,54,123,64,0,0,0,8.4,10.2,0.3,0.4,0.4,8.9,74,74.3,15.1,12.4,0,0,14.2,14.2,29.9,29.2,102.8,102.8,357.3,360.5,1270.1,1313.9
Greater Mondawmin,42.9,32.2,41.1,78.4,85.9,86.1,85.6,87.5,87.8,49.6,57.8,65.2,203,59,34,0,0,0,11.4,12.7,0.6,0.6,1.8,14,71.1,71.7,15.9,17.7,6.9,2.7,21.6,15.1,41,38.1,129.9,134,425.2,418.3,1074.1,1118.5
Greater Roland Park/Poplar Hill,0,0,0,94.3,91.1,83.6,94.3,89.3,88.5,74.3,73.2,86.9,132,57,43,0,0,0,0.3,0.3,0.4,0.3,0.7,11.8,84.1,84.4,0,3.3,1.8,0,5.7,2.8,3.2,2.1,33.2,33.2,213.1,209.7,1317.1,1280.5
Greater Rosemont,80.8,64.7,58.5,87.1,88.6,82.1,87.8,90.5,81.3,52.3,49.6,58.2,479,496,95,1,1.6,5.3,16,18.4,0.9,1,1.4,6.9,69.2,70.1,11.1,13.6,3.1,3.1,16.3,12.4,52.6,46.1,145.8,143.2,461.2,436,1323.7,1289.9
Greenmount East,99.2,79.9,55.1,85.4,85.3,84.4,82.6,82.4,84.4,48.6,64,62.6,183,167,185,3.8,3.6,3.8,20.1,22.9,2.2,2,1.4,9.6,67,67.4,20.5,18.2,9.2,6.5,12.2,9.1,54.1,48.4,167,175.2,433.9,445.2,1546.2,1630.3
Hamilton,25.3,10.5,27.4,83.1,86.2,88,86.4,89.9,91.1,68.6,71.7,65.8,64,177,161,0,0,0,3.5,4.4,1.3,0.5,0.8,8.8,75.3,75.4,13.2,15,4.4,4.4,8.1,8.1,19.4,16.7,71.6,76.4,424.3,413.9,1417.6,1272
Harbor East/Little Italy,70.4,70.4,49.3,84,88,85.6,85.1,89.2,87.8,61.7,57.8,64.4,199,154,39,0,0,0,14.8,12.8,3.1,3.3,3,11.8,73.5,72.5,15.5,19.5,3.9,1.9,20.2,20.2,17.9,19.9,116.9,118.5,365.3,383.9,1117.6,1235.3
Harford/Echodale,15.8,45.5,29.7,85.8,87.2,86.2,88.1,89.7,89.2,58,64.9,66.4,156,297,348,0,0,0,4.3,4.1,0.4,0.7,0.6,9.9,75.9,76.2,6.3,6.4,3.3,3.3,10.6,8.8,18.6,17,80.5,81.8,357.1,350.4,1589.7,1572.6
Highlandtown,77.6,77.6,94.8,92.4,87.9,93.5,91.6,89.2,92,62.6,58.6,74.6,113,107,105,0,0,0,3.9,3.2,5.1,5.2,2.3,13.9,74,74.4,4.4,7.3,0,0,9,9,11.1,10.6,118.2,109.5,434.8,398.6,1728.8,1711.9
Howard Park/West Arlington,61.6,44.8,33.6,85,89.5,82.5,86,94.2,81.6,48.6,69.8,68,0,237,0,0,0,0,5.1,6,0.3,0.3,0.9,10.2,74.2,75,8.8,7.5,2.4,2.4,10.9,9.6,40,30.7,108.6,108.6,348,348,1144,1198.4
Inner Harbor/Federal Hill,30,30,10,92.7,90.8,89.8,92.1,93.5,92.1,74.4,77.7,76.3,232,172,239,0,0,0,2.8,3.6,3.3,2.6,4.2,12.4,77.3,77.8,7.1,6.9,0,0,5.4,5.4,6.9,5.6,83.6,86.9,343.3,336.7,1298,1245
Lauraville,38.8,34.2,27.4,85.8,84.8,86,86.6,87.4,87.3,66.1,59.6,62.7,145,33,120,0,0,0,4.2,5,0.7,0.6,0.6,11.5,74.2,75,18,14.7,1.9,1.9,9.8,11,20.1,18.3,83.5,78.7,422.9,401.1,1547.7,1527.6
Loch Raven,57.8,31.7,18.7,83.9,84.3,88.1,88.6,86,88.1,54.4,62.8,58.5,0,222,190,0,0,0,3.9,5.3,0.2,0.1,0.3,15.3,75.2,75.9,13.6,13.7,1.5,0.8,15.4,12,24.2,23.7,86.9,84.1,336.8,342.1,1263.5,1184.1
Madison/East End,81,86.1,75.9,83.6,85.6,81.8,85.4,83.1,89.4,50.3,53.8,65.3,377,353,318,6.1,5.9,4.4,24.7,26.9,1.8,1.5,4.6,10.1,66.8,67.4,14,14.4,1,2.1,23.1,20.4,53.7,42.4,166,176.2,504.2,491.6,1578.9,1368.4
Medfield/Hampden/Woodberry/Remington,58.8,44.1,44.1,90,92.1,90.9,91,93.4,91.8,66.5,69,67.9,156,275,283,0,0,0,2.7,2.3,1.2,1.2,1,10.4,75.5,75.9,6.3,7.1,2.2,2.2,9.5,8.4,17.4,14.8,98.7,97.2,414.6,405,1041.3,1052.3
Midtown,8,4.8,4.8,89.3,86.3,93.4,90.2,90.4,91.7,67.9,58.9,66.1,0,65,116,0,0,0,5.3,6.9,1.9,1.9,2.1,13,74.8,76,11.5,7.6,2.9,2.9,4,2.9,17,14.9,113.2,109.7,362.6,355.4,1058.8,983.2
Midway/Coldstream,53.7,79.4,65.4,85.7,81.8,80.9,79.4,85.5,84.2,45.2,53.3,51.4,114,328,114,6.1,5.5,6.1,15.4,18.5,1.5,1.6,2.1,8,66.1,67.9,10.6,15.4,12.6,8.4,36.4,29.9,59.8,41.6,155.1,145.7,448.8,422.9,1657.1,1866.7
Morrell Park/Violetville,78.8,14.8,39.4,87.5,86.1,88,92.5,92.2,93.2,61.7,65.2,58.1,65,119,108,0,0,0,3.3,4.1,1.2,1.2,1.1,10.4,72.2,72.7,11.3,11.6,2.8,0,21.4,21.4,25.6,20.2,135.8,130.7,458.3,488.6,907.8,912.6
Mount Washington/Coldspring,10.9,10.9,0,89.6,90.9,95.3,92.5,92.7,96.9,64.2,70.9,70.3,90,122,112,0,0,0,0.3,0.3,0.2,0.4,0.2,24.8,81.1,81.7,3.2,3.1,0,0,0,0,5.3,6.6,52.8,46.3,283.7,257.9,1562,1532.8
North Baltimore/Guilford/Homeland,3.1,1.6,0,91.5,92.2,92.6,90.7,89.4,94.1,63.6,69.5,75.7,239,107,46,0,0,0,0.8,0.7,0.1,0.3,1,7.5,82.2,83.2,4.1,0,0,0,1.5,1.5,9.4,7.2,54.7,53.2,219.2,209.9,1272.1,1236.7
Northwood,15.6,13.4,18.6,85.9,85.7,88.1,84,86.3,91.4,58.3,55.9,57.6,170,254,327,0,0,0,5.7,6.6,0.1,0.1,0.4,8.9,75.9,76.2,12.6,13.1,0,0,5.5,5.1,30,25.9,90.9,89.9,283.2,284.3,1297.6,1365.9
Oldtown/Middle East,74.2,47.5,38.6,87.8,90.7,84.6,87.2,87.9,79.7,53.8,63.6,67.8,171,188,274,0,0,0,19.9,24.7,0.7,0.4,3.1,8.4,75,74,10,10,5.1,5.1,4.9,6.1,32.5,28.1,107.1,121.3,296.4,335.5,1155.2,1206.9
Orangeville/East Highlandtown,106.1,111.1,45.5,87.6,92.9,88.4,91,93.4,91,40.4,45.1,58.3,0,96,0,0,0,0,4.3,6.6,3.2,2.8,1.9,8.6,72.3,72.9,3.1,4.1,0,0,9.9,8.2,24.2,19.7,145.9,150.8,409.1,383.1,1642.1,1578.9
Patterson Park North & East,87.1,82.1,104.5,89.6,87.8,88.9,91.9,88.8,88.9,50.8,56.6,70.6,410,217,171,3.4,2.3,0,9.5,11.3,1.4,1.4,0.8,12.7,71.4,71.7,7.9,7.7,4,2.4,19.6,16.8,22,19.7,126.5,137.6,444.7,421.9,1655.7,1590.2
Penn North/Reservoir Hill,47.1,61.8,79.4,79.3,82.9,86,84.3,87.1,84.9,54.3,62.1,61.6,88,70,0,0,0,0,18.8,23.1,1,0.7,0.3,7,69.2,69.9,12.8,12.6,0,0,25,23.5,50,50,137.7,130.7,477.5,444.2,1280.7,1368.4
Pimlico/Arlington/Hilltop,63.7,46.6,53.9,83.4,83.1,84.8,84.7,84.4,81.2,51,57.8,52.9,0,161,236,0,3.1,0,11.8,12.7,1.1,1,1.6,9.8,68.6,69.1,18.9,21,1.9,1,23.2,19.6,44.4,41.3,155.3,157.7,423.3,413.4,1446.4,1482.1
Poppleton/The Terraces/Hollins Market,65.5,89.3,53.6,89,92.3,82.4,84.9,91,83.8,53.4,48.7,67.6,88,117,131,0,0,0,17.6,26.1,2,1.8,3.9,8.5,64.7,67.1,14.1,10.1,4,2,23.9,21.2,49.3,37,217.2,197.4,574,514.8,1611.1,1666.7
Sandtown-Winchester/Harlem Park,69.8,61.9,73,80.4,82.1,81.3,86.8,85.4,82.8,58.3,59.2,62.2,203,99,95,6.9,0,7.4,22.3,25,1.5,1.5,1,9.4,67.5,68.8,16.8,13.2,3.4,2.8,23.1,19,56.1,44.3,158.5,165.5,483.8,466.5,1243,1282.9
South Baltimore,0,30.8,15.4,97.1,90.2,92.6,95.1,91.7,94.9,71.8,70.5,80.9,121,97,72,0,0,0,1.6,1.2,2.2,3.6,0.7,18.1,74.9,75,5.7,5.2,4,4,2.7,2.7,8.5,10.3,95.7,86.1,470.3,465.9,1761.2,1850.7
Southeastern,68,68,43.7,83,89.1,88.1,83,89.1,89.8,50.9,55.4,57.6,202,65,64,0,0,0,7.4,8.8,2.6,2.4,0.8,7.2,73.5,74,9.1,9,0,1.8,13.6,6.8,29.1,27.9,122.1,122.1,380.8,389.8,1323.3,1172.9
Southern Park Heights,78.2,72.6,54,85.4,91.6,84.3,87.7,91.1,83.3,52.4,47.5,48.1,0,297,0,0,0,0,14.1,17.5,0.8,0.8,0.8,11.7,68.3,69.2,14.4,14.3,6.1,4.6,20.8,17.9,43.9,42,145.8,144.1,454.8,429.8,1536.2,1536.2
Southwest Baltimore,82.4,75.8,66.7,85.8,85.5,86.4,87,86.1,88.5,50,45.7,51.2,506,72,296,5.3,6.9,3.7,19.7,23.5,2.5,2.6,2.2,10.3,67.3,67.8,14.2,15,5.4,5.4,22,22,48.1,44.1,177.6,169.6,481.6,473.9,1333.3,1315.8
The Waverlies,53.6,35.7,62.5,82.1,89.2,88.6,83.8,92.8,87.6,55.6,63.1,68.6,100,72,166,0,0,0,11.8,12,1.2,0.6,0.6,15.1,72.2,72,13.5,14,1.5,1.5,23.7,23.7,30.4,30.4,114.1,121.7,378.7,383.2,1346.9,1265.3
Upton/Druid Heights,97.4,92.1,76.3,88.3,82.4,86.6,88.3,82.4,88.1,60.8,49.7,57.2,85,0,68,0,0,0,23.8,27.6,0.9,1,1.8,9.8,66.1,67.3,14.1,10.3,1.7,3.3,27.2,22.5,51.7,49.3,184.5,172.6,515,489.3,1607.1,1607.1
Washington Village/Pigtown,69.8,64,46.5,84.8,89,80.7,92.9,90.2,88.6,65.7,59.8,67,0,0,50,0,0,0,9.3,13.1,3.5,3.1,2.2,9.8,70.3,69.8,13.9,13.3,0,2.3,14.7,17.1,30,28.1,122.4,124.1,547.3,577.1,1377.8,1333.3
Westport/Mount Winans/Lakeland,64.9,99.2,30.5,86.8,82.5,85.7,92.6,83.2,86.6,47.1,51.8,57.1,208,232,232,0,0,0,10.8,12.9,0.8,0.8,2.2,14.4,74.5,72.8,17,12.7,0,0,19.8,18,23.8,27.8,88.1,96.6,351,453.4,1254.9,1294.1
Baltimore City,51.1,46.6,41.5,86.5,87.4,86.6,88.3,88.4,88.2,57,59,62.7,19702,19036,18723,1.6,1.4,1.2,9.4,11,1.3,1.2,1.4,10.3,73.5,73.9,11.7,9.7,11.7,2.5,2.8,11.9,27.3,24,117.9,114.1,393.7,373.8,1315,1231.5
